Time,Displacement,Force,Strain 1
(s),(mm),(kN),(%)
50.3,5.2771,1.116,5.0858
50.4,5.2877,1.117,5.0997
50.5,5.2983,1.1179,5.1125
50.6,5.3086,1.1185,5.1258
50.7,5.3192,1.1195,5.1403
50.8,5.3297,1.1206,5.1526
50.9,5.3403,1.1213,5.166
51,5.3507,1.1222,5.1798
51.1,5.3612,1.1233,5.193
51.2,5.3716,1.124,5.2068
51.3,5.3822,1.1247,5.2197
51.4,5.3926,1.1257,5.2331
51.5,5.4032,1.1266,5.2477
51.6,5.4136,1.1275,5.2601
51.7,5.4242,1.1281,5.2732
51.8,5.4347,1.1292,5.2877
51.9,5.4451,1.13,5.2997
52,5.4556,1.1308,5.3139
52.1,5.4663,1.1317,5.3283
52.2,5.4767,1.1325,5.3404
52.3,5.4871,1.1332,5.3545
52.4,5.4976,1.1342,5.368
52.5,5.5082,1.1349,5.3806
52.6,5.5187,1.1359,5.3952
52.7,5.5292,1.1366,5.4086
52.8,5.5397,1.1374,5.4214
52.9,5.5502,1.1383,5.4362
53,5.5607,1.1393,5.4492
53.1,5.5712,1.1398,5.4625
53.2,5.5817,1.1406,5.4772
53.3,5.5922,1.1415,5.4898
53.4,5.6028,1.1423,5.504
53.5,5.6132,1.1433,5.5177
53.6,5.6236,1.1439,5.53
53.7,5.6341,1.1446,5.545
53.8,5.6447,1.1455,5.5584
53.9,5.6551,1.1461,5.5715
54,5.6656,1.147,5.5861
54.1,5.6761,1.1477,5.599
54.2,5.6866,1.1484,5.6124
54.3,5.6971,1.1494,5.6271
54.4,5.7077,1.1501,5.6404
54.5,5.7182,1.1509,5.654
54.6,5.7286,1.1516,5.6689
54.7,5.7392,1.1524,5.681
54.8,5.7497,1.1532,5.6961
54.9,5.7601,1.1539,5.7098
55,5.7707,1.1546,5.7225
55.1,5.7813,1.1554,5.7369
55.2,5.7917,1.1559,5.7506
55.3,5.8022,1.1568,5.7637
55.4,5.8127,1.1575,5.7784
55.5,5.8232,1.1583,5.7922
55.6,5.8336,1.1589,5.8058
55.7,5.8442,1.1598,5.8203
55.8,5.8546,1.1605,5.8337
55.9,5.8652,1.1612,5.8477
56,5.8757,1.162,5.862
56.1,5.8862,1.1626,5.8754
56.2,5.8966,1.1634,5.8899
56.3,5.9071,1.1639,5.9035
56.4,5.9177,1.1644,5.9171
56.5,5.9281,1.1654,5.9318
56.6,5.9386,1.1661,5.945
56.7,5.9492,1.1667,5.9594
56.8,5.9597,1.1675,5.9739
56.9,5.9701,1.1682,5.9868
57,5.9807,1.1689,6.0016
57.1,5.9912,1.1694,6.016
57.2,6.0017,1.1702,6.0292
57.3,6.0123,1.1709,6.044
57.4,6.0227,1.1715,6.0581
57.5,6.0331,1.1722,6.0714
57.6,6.0437,1.1729,6.0867
57.7,6.0541,1.1732,6.0995
57.8,6.0647,1.1741,6.1136
57.9,6.0751,1.1746,6.1285
58,6.0857,1.1753,6.1419
58.1,6.0961,1.1759,6.1565
58.2,6.1066,1.1766,6.1711
58.3,6.1171,1.1772,6.1843
58.4,6.1278,1.1781,6.1993
58.5,6.1382,1.1786,6.2133
58.6,6.1487,1.1793,6.227
58.7,6.1592,1.1798,6.2421
58.8,6.1696,1.1805,6.2555
58.9,6.1801,1.1813,6.2694
59,6.1907,1.1816,6.2847
